question,answer,steps,n_hops,root,target,split
Every quimpus is a shumpus. Every scrompus is a kerpus. Every rempus is a rorpus. Every quimpus is a rempus. Every storpus is a yimpus. Every gwompus is a terpus. Every fompus is a lorpus. Every sterpus is a kerpus. Every grimpus is a sterpus. Every gerpus is a bompus. Every scrompus is a rorpus. Every fompus is a rorpus. Polly is a gerpus. Every lempus is a quimpus. Every lempus is a zumpus. Every quimpus is a gerpus. Every shumpus is a gwompus. Every jelpus is a fompus. Alex is a jelpus. Every jelpus is a grimpus. Every lempus is a rempus. Every rempus is a dumpus. Every lempus is a gerpus. Every jelpus is a scrompus. Alex is a yerpus. Every yerpus is a scrompus. Every worpus is a yimpus. Every gerpus is a dumpus. Every fompus is a scrompus. Every yerpus is a fompus. Every lorpus is a kerpus. Every worpus is a storpus. Alex is a fompus. Every fompus is a kerpus. Every zumpus is a rempus. Every jelpus is a yerpus. Every worpus is a sterpus. Every fompus is a worpus. Every rempus is a gerpus. Polly is a lempus. Is Polly a yimpus or terpus?,Polly is a terpus.,"[""Polly is a lempus."", ""Every lempus is a quimpus."", ""Every quimpus is a shumpus."", ""Every shumpus is a gwompus."", ""Every gwompus is a terpus.""]",5,0,23,train
Every chorpus is a timpus. Tom is a brimpus. Sam is a quimpus. Every chorpus is a rompus. Every jompus is a rempus. Every quimpus is a yumpus. Every timpus is a rorpus. Every rorpus is a rempus. Every brimpus is a jompus. Every quimpus is a bompus. Every brimpus is a timpus. Sam is a yumpus. Every lempus is a fompus. Every yerpus is a quimpus. Every timpus is a rompus. Tom is a impus. Every hilpus is a yumpus. Every quimpus is a jelpus. Every quimpus is a hilpus. Tom is a timpus. Tom is a gerpus. Every gerpus is a brimpus. Every yerpus is a yumpus. Every quimpus is a kerpus. Every jelpus is a scrompus. Every jelpus is a grimpus. Every quimpus is a boompus. Every yerpus is a scrompus. Every jelpus is a kerpus. Every gerpus is a rorpus. Every tumpus is a fompus. Sam is a lempus. Every timpus is a boompus. Sam is a yerpus. Every brimpus is a chorpus. Every gerpus is a boompus. Every yumpus is a scrompus. Every jelpus is a tumpus. Sam is a hilpus. Every gerpus is a timpus. Every yerpus is a boompus. Every hilpus is a impus. Is Sam a rempus or grimpus?,Sam is a grimpus.,"[""Sam is a quimpus."", ""Every quimpus is a jelpus."", ""Every jelpus is a grimpus.""]",3,0,11,train
Sam is a scrompus. Every hilpus is a rompus. Every scrompus is a yumpus. Every scrompus is a bompus. Every zumpus is a gwompus. Davis is a gwompus. Every zumpus is a numpus. Every jompus is a yimpus. Fae is a storpus. Every kerpus is a tumpus. Every lorpus is a jompus. Every yimpus is a worpus. Every storpus is a lorpus. Every hilpus is a sterpus. Every bompus is a tumpus. Every hilpus is a zhorpus. Every scrompus is a kerpus. Every lorpus is a numpus. Every bompus is a hilpus. Every yimpus is a jelpus. Every rompus is a wumpus. Fae is a gwompus. Every storpus is a zumpus. Every sterpus is a yumpus. Every storpus is a numpus. Every zhorpus is a gerpus. Sam is a gwompus. Sam is a hilpus. Every gerpus is a tumpus. Every storpus is a jelpus. Every kerpus is a rompus. Every kerpus is a hilpus. Every storpus is a gwompus. Bob is a gwompus. Fae is a zumpus. Every numpus is a worpus. Is Sam a wumpus or worpus?,Sam is a wumpus.,"[""Sam is a hilpus."", ""Every hilpus is a rompus."", ""Every rompus is a wumpus.""]",3,0,23,train
Every bompus is a vumpus. Eva is a jelpus. Every bompus is a scrompus. Every dumpus is a zumpus. Every lempus is a zumpus. Every hilpus is a dumpus. Every jelpus is a rempus. Every hilpus is a zumpus. Alex is a dumpus. Every rempus is a kerpus. Every dumpus is a lempus. Alex is a hilpus. Alex is a zumpus. Every hilpus is a shumpus. Every fompus is a chorpus. Every dumpus is a sterpus. Every hilpus is a rompus. Every dumpus is a shumpus. Every worpus is a bompus. Every jelpus is a vumpus. Every worpus is a rompus. Every worpus is a fompus. Every bompus is a yumpus. Every yumpus is a kerpus. Every sterpus is a shumpus. Every jelpus is a worpus. Every hilpus is a lempus. Every yumpus is a zhorpus. Every zhorpus is a fompus. Every zhorpus is a kerpus. Every jelpus is a yimpus. Every scrompus is a vumpus. Every zumpus is a rorpus. Every yumpus is a vumpus. Is Eva a chorpus or shumpus?,Eva is a chorpus.,"[""Eva is a jelpus."", ""Every jelpus is a worpus."", ""Every worpus is a fompus."", ""Every fompus is a chorpus.""]",4,0,17,train
Every grimpus is a hilpus. Every rorpus is a lempus. Every zumpus is a worpus. Every rompus is a yumpus. Every fompus is a gwompus. Every zhorpus is a jelpus. Polly is a wumpus. Every shumpus is a gerpus. Every rompus is a rempus. Every rompus is a yimpus. Every shumpus is a yimpus. Every gerpus is a tumpus. Every jelpus is a yimpus. Eva is a rompus. Every shumpus is a zumpus. Every grimpus is a storpus. Every zumpus is a rorpus. Polly is a zumpus. Every shumpus is a timpus. Every shumpus is a rorpus. Every rorpus is a timpus. Every timpus is a gerpus. Every yumpus is a hilpus. Eva is a zhorpus. Every zumpus is a timpus. Polly is a shumpus. Every zhorpus is a kerpus. Every gerpus is a fompus. Every rompus is a zhorpus. Every zhorpus is a yimpus. Every yumpus is a storpus. Every rompus is a grimpus. Eva is a yumpus. Every yumpus is a zhorpus. Is Polly a hilpus or gwompus?,Polly is a gwompus.,"[""Polly is a shumpus."", ""Every shumpus is a gerpus."", ""Every gerpus is a fompus."", ""Every fompus is a gwompus.""]",4,1,22,train
Every scrompus is a bompus. Every yerpus is a bompus. Every gerpus is a dumpus. Every gwompus is a lempus. Every storpus is a felpus. Every numpus is a yumpus. Bob is a jompus. Sam is a storpus. Every gorpus is a numpus. Every dumpus is a felpus. Every felpus is a rompus. Sam is a kerpus. Every shumpus is a gwompus. Sam is a gerpus. Every storpus is a dumpus. Every tumpus is a scrompus. Every gorpus is a hilpus. Every rorpus is a rompus. Every shumpus is a zhorpus. Every numpus is a boompus. Every shumpus is a zumpus. Every scrompus is a grimpus. Every kerpus is a rorpus. Every numpus is a tumpus. Every lempus is a yumpus. Every numpus is a scrompus. Every hilpus is a yerpus. Every numpus is a zhorpus. Every boompus is a yumpus. Bob is a fompus. Every gwompus is a yumpus. Bob is a shumpus. Every numpus is a worpus. Every storpus is a zhorpus. Every boompus is a zhorpus. Bob is a zumpus. Every dumpus is a rompus. Every yumpus is a tumpus. Every gorpus is a yumpus. Bob is a grimpus. Every storpus is a gerpus. Every dumpus is a rorpus. Every shumpus is a lempus. Every gerpus is a rorpus. Every gorpus is a lempus. Every fompus is a gorpus. Is Bob a rompus or bompus?,Bob is a bompus.,"[""Bob is a fompus."", ""Every fompus is a gorpus."", ""Every gorpus is a numpus."", ""Every numpus is a scrompus."", ""Every scrompus is a bompus.""]",5,0,26,train
Every worpus is a yumpus. Every timpus is a yimpus. Every hilpus is a jelpus. Every gorpus is a impus. Every chorpus is a boompus. Every jelpus is a zhorpus. Every timpus is a scrompus. Every chorpus is a worpus. Every boompus is a storpus. Every timpus is a storpus. Every impus is a scrompus. Alex is a gwompus. Every gorpus is a jompus. Every worpus is a lorpus. Every hilpus is a lempus. Every fompus is a jompus. Every kerpus is a gorpus. Every gorpus is a quimpus. Alex is a yumpus. Every gorpus is a fompus. Every hilpus is a brimpus. Every worpus is a brimpus. Every boompus is a timpus. Polly is a kerpus. Every gwompus is a yumpus. Every lempus is a scrompus. Polly is a gorpus. Every gwompus is a yimpus. Every timpus is a lempus. Every hilpus is a chorpus. Every scrompus is a grimpus. Every timpus is a lorpus. Alex is a hilpus. Every kerpus is a quimpus. Every boompus is a yumpus. Is Alex a lorpus or quimpus?,Alex is a lorpus.,"[""Alex is a hilpus."", ""Every hilpus is a chorpus."", ""Every chorpus is a worpus."", ""Every worpus is a lorpus.""]",4,1,14,train
Polly is a tumpus. Every timpus is a bompus. Every boompus is a chorpus. Every bompus is a vumpus. Polly is a rorpus. Every terpus is a timpus. Every gorpus is a grimpus. Every kerpus is a gorpus. Every rorpus is a kerpus. Every terpus is a jelpus. Every kerpus is a gwompus. Stella is a lorpus. Oliver is a scrompus. Every vumpus is a boompus. Every rorpus is a gorpus. Polly is a lorpus. Every tumpus is a gerpus. Stella is a storpus. Every storpus is a jompus. Every rorpus is a tumpus. Every bompus is a rempus. Every jelpus is a rempus. Every jelpus is a boompus. Every timpus is a vumpus. Every jelpus is a vumpus. Every timpus is a zhorpus. Every storpus is a terpus. Every jelpus is a bompus. Every tumpus is a zhorpus. Is Stella a grimpus or chorpus?,Stella is a chorpus.,"[""Stella is a storpus."", ""Every storpus is a terpus."", ""Every terpus is a jelpus."", ""Every jelpus is a boompus."", ""Every boompus is a chorpus.""]",5,1,19,train
Every lempus is a boompus. Every gerpus is a scrompus. Every bompus is a rorpus. Max is a bompus. Max is a sterpus. Every felpus is a gerpus. Every scrompus is a gorpus. Davis is a hilpus. Sally is a gerpus. Every boompus is a yumpus. Every gorpus is a yumpus. Every bompus is a rompus. Every chorpus is a zhorpus. Every lempus is a scrompus. Sally is a rompus. Every rorpus is a rompus. Sally is a yumpus. Every sterpus is a rorpus. Polly is a hilpus. Every felpus is a storpus. Davis is a boompus. Max is a brimpus. Sally is a lempus. Sally is a felpus. Every sterpus is a chorpus. Every lempus is a rompus. Is Max a zhorpus or yumpus?,Max is a zhorpus.,"[""Max is a sterpus."", ""Every sterpus is a chorpus."", ""Every chorpus is a zhorpus.""]",3,0,17,train
Carol is a numpus. Carol is a tumpus. Every storpus is a gwompus. Every gerpus is a impus. Every rompus is a jelpus. Every tumpus is a boompus. Every tumpus is a gerpus. Every scrompus is a worpus. Every fompus is a yimpus. Every fompus is a rompus. Every rorpus is a numpus. Every jelpus is a yimpus. Every jelpus is a lempus. Every jelpus is a lorpus. Every fompus is a sterpus. Every storpus is a sterpus. Every fompus is a scrompus. Tom is a boompus. Every impus is a lempus. Every rorpus is a tumpus. Polly is a rompus. Every yimpus is a grimpus. Every rorpus is a storpus. Every sterpus is a lorpus. Polly is a fompus. Every dumpus is a grimpus. Every tumpus is a sterpus. Every storpus is a lorpus. Every rompus is a dumpus. Every storpus is a impus. Every storpus is a brimpus. Carol is a rorpus. Is Polly a brimpus or grimpus?,Polly is a grimpus.,"[""Polly is a fompus."", ""Every fompus is a yimpus."", ""Every yimpus is a grimpus.""]",3,1,17,train
