position,alpha,sample_idx,correct,n_steps,predicted_word,expected_word
0,0,0,1,3,lempus,lempus
1,5,0,1,3,lempus,lempus
1,10,0,1,3,lempus,lempus
1,20,0,1,3,lempus,lempus
1,40,0,1,3,lempus,lempus
2,5,0,1,3,lempus,lempus
2,10,0,1,3,lempus,lempus
2,20,0,1,3,lempus,lempus
2,40,0,1,3,lempus,lempus
3,5,0,1,3,lempus,lempus
3,10,0,1,3,lempus,lempus
3,20,0,1,3,lempus,lempus
3,40,0,1,3,lempus,lempus
4,5,0,1,3,lempus,lempus
4,10,0,1,3,lempus,lempus
4,20,0,1,3,lempus,lempus
4,40,0,1,3,lempus,lempus
5,5,0,1,3,lempus,lempus
5,10,0,1,3,lempus,lempus
5,20,0,1,3,lempus,lempus
5,40,0,1,3,lempus,lempus
0,0,1,1,4,worpus,worpus
1,5,1,1,4,worpus,worpus
1,10,1,1,4,worpus,worpus
1,20,1,1,4,worpus,worpus
1,40,1,1,4,worpus,worpus
2,5,1,1,4,worpus,worpus
2,10,1,1,4,worpus,worpus
2,20,1,1,4,worpus,worpus
2,40,1,1,4,worpus,worpus
3,5,1,1,4,worpus,worpus
3,10,1,1,4,worpus,worpus
3,20,1,1,4,worpus,worpus
3,40,1,1,4,worpus,worpus
4,5,1,1,4,worpus,worpus
4,10,1,1,4,worpus,worpus
4,20,1,1,4,worpus,worpus
4,40,1,1,4,worpus,worpus
5,5,1,1,4,worpus,worpus
5,10,1,1,4,worpus,worpus
5,20,1,1,4,worpus,worpus
5,40,1,1,4,worpus,worpus
0,0,2,0,4,bompus,gwompus
1,5,2,0,4,bompus,gwompus
1,10,2,0,4,bompus,gwompus
1,20,2,0,4,bompus,gwompus
1,40,2,0,4,bompus,gwompus
2,5,2,0,4,bompus,gwompus
2,10,2,0,4,bompus,gwompus
2,20,2,0,4,bompus,gwompus
2,40,2,0,4,bompus,gwompus
3,5,2,0,4,bompus,gwompus
3,10,2,0,4,bompus,gwompus
3,20,2,0,4,bompus,gwompus
3,40,2,0,4,bompus,gwompus
4,5,2,0,4,bompus,gwompus
4,10,2,0,4,bompus,gwompus
4,20,2,0,4,bompus,gwompus
4,40,2,0,4,bompus,gwompus
5,5,2,0,4,bompus,gwompus
5,10,2,0,4,bompus,gwompus
5,20,2,0,4,bompus,gwompus
5,40,2,0,4,bompus,gwompus
0,0,3,1,4,storpus,storpus
1,5,3,1,4,storpus,storpus
1,10,3,1,4,storpus,storpus
1,20,3,1,4,storpus,storpus
1,40,3,1,4,storpus,storpus
2,5,3,1,4,storpus,storpus
2,10,3,1,4,storpus,storpus
2,20,3,1,4,storpus,storpus
2,40,3,1,4,storpus,storpus
3,5,3,1,4,storpus,storpus
3,10,3,1,4,storpus,storpus
3,20,3,1,4,storpus,storpus
3,40,3,1,4,storpus,storpus
4,5,3,1,4,storpus,storpus
